"id","title","description","deck","round","help_text","",""
"508","Incentives.","How are interviewees incentivised?","g","2","","",""
"507","NDA interviewee","Does the interviewee need to sign an NDA?","g","2","","",""
"506","Interview location","Where do the user interviews take place?","g","2","","",""
"505","End user recruitment.","Who does the end user recruitment for user interviews?","g","3","Who recruits the users?","",""
"504","Contact point client?","Who in the team is the contact point for the client?","g","3","Who is the key client contact?","",""
"503","Visuals","Are visuals part of the deliverables?","g","1","","",""
"502","Prototypes","Are prototypes part of the deliverables?","g","1","","",""
"501","Right people.","Do we have the right people to cover all aspects: desirability, feasibility, viability?","g","3","","",""
"500","Client availability.","How much time will each stakeholder have for the project?","g","3","","",""
"499","Client in project","Is the client part of the project?","g","3","","",""
"498","Contact end users.","How can we contact the end users?","g","2","","",""
"497","Direct access.","Can we contact the end users directly or does the client act as proxy?","g","2","","",""
"496","Access to end users.","Do we have access to end users? How do we contact them?","g","3","Essential for SVS/concepting, important for other project types.","",""
"495","PM triangle","What are the constraints?","a","1","Schedule, Scope, Budget.","",""
"484","Outside scope","What must we be careful to keep outside the project scope?","a","1","","",""
"483","Service in 1 year","What will the service be in 1 or 2 years?","g","1","","",""
"482","All parts","Are all technical components required to make the service work budgeted for?","a","2","All mobile platforms, back-end services, Gateways, CI systems, .....","",""
"481","Availability","What is the availability of the team members?","a","3","","",""
"480","Waste","What has been the most wasteful activity so far?","r","3","","",""
"479","Learning","If you had one week for somebody in the team to learn something, who and what would that be?","r","3","","",""
"478","Best thing","What has been the best decision we have made since the start of the project?","r","3","","",""
"477","Twice as happy","If we could have done things differently, what would have made the client twice as happy?","r","1","","",""
"476","Recommend","What practise from this project would you recommend we do on every project?","r","3","","",""
"475","Concept history","How did we end up with the current concept?","g","1","","",""
"474","Design approval","Which stakeholders in the client organisation will need to approve the designs or product?","g","2","","",""
"473","Business case","Have we challenged the business case? Do we need to?","g","1","","",""
"472","Concept","Have we challenged the business concept? Do we need to?","g","1","","",""
"471","Challenge brand","Have we challenged the brand guidelines? Do we need to?","g","1","","",""
"470","Partial concept","Does the client know which part of the concept will be implemented first?","g","2","","",""
"469","Design review","Have the designs been co-created with the developers and the Product Owner?","g","2","","",""
"468","Design files","Are the master design files (Photoshop, Sketch, etc) accessible by the whole team?","g","2","ie, on Google Drive etc","",""
"467","Share assets","How do we store/share/version control assets?","g","2","","",""
"466","Assets to developers","Do the developers have access to all assets?","g","2","","",""
"465","Possible","Are all designs possible to implement within the schedule and budget?","g","1","","",""
"464","Design review","Have the designs been peer reviewed by Futurice?","g","3","","",""
"463","Design approval","Have all the stakeholders approved the designs?","g","1","","",""
"462","Design awareness","Have all the stakeholders seen the designs?","g","2","","",""
"461","Brand","Is our design aligned with the brand","g","1","","",""
"459","PO incentives","What are the incentives for the Product Owner?","g","3","Think also about bonus schemes, personal ambition etc.","",""
"458","Release","Is there anything unknown about the release process?","g","2","Test release build process, walk through acceptance and deployment/store release steps. ","",""
"457","Postpone","Is there anything in the backlog which could be postponed to the next release?","a","1","","",""
"456","Weekend work","What is the agreement about weekend work?","g","2","Who decides, how to avoid undue peer pressure, any extra compensation?","",""
"451","Confidentiality","What can I say about the project inside Futurice?","g","2","","",""
"450","Sensitive data","Does the project include any sensitive personal data?","g","2","","",""
"449","Open source clause","Does the contract include our open source clause?","g","2","","",""
"448","Open source licences","What are allowed/forbidden open source licenses?","g","2","","",""
"447","Libraries","Is there any limitations when in comes to choosing libraries, frameworks etc.?","g","2","Some organisation have limitations in the form of a blacklist (or white-list) for 3rd party libraries.","",""
"446","IPR ownership","Who owns the intellectual property rights?","g","2","","",""
"445","Working location","Does the contract stipulate where the work should be carried out?","g","2","","",""
"444","Obligations","What, if any, are the contractual obligations the client has to fulfil to enable project success?","g","1","Think about required upstream changes, delivered information, PO availability","",""
